Station,Barcode,Leg,Latitude,Longitude,Date,Depth,Temp_C,NO3_Malaspina,PO4_Malaspina,SiO4_Malaspina,NO2_Malaspina,NO3_WOA13,PO4_WOA13,SiO4_WOA13,CHL Total,BP,All_BT,%HNA,fgC_cell,µgC_l_d-1,d_1
1,MH002C0010,1,35.13533333,-9.5165,16/12/2010,3,18.45,,,,,,,,0.252,7.483,5.27E+05,38.58,5.69,0.2694,0.08595
1,MH002C0010,1,35.13533333,-9.5165,16/12/2010,10,18.46,,,,,,,,0.249,11.485,5.52E+05,35.58,5.84,0.41346,0.12072
1,MH002C0010,1,35.13533333,-9.5165,16/12/2010,20,18.46,,,,,,,,0.235,9.878,5.49E+05,35.21,6.76,0.35562,0.09153
1,MH002C0010,1,35.13533333,-9.5165,16/12/2010,37,18.47,,,,,,,,0.267,8.172,5.57E+05,32.69,6.33,0.29421,0.08015
1,,1,35.13533333,-9.5165,16/12/2010,78,17.35,,,,,,,,0.243,,,,,,
1,,1,35.13533333,-9.5165,16/12/2010,130,15.39,,,,,,,,0.168,,,,,,
1,MH002A0011,1,35.13533333,-9.5165,16/12/2010,300,13.33,,,,,,,,,,1.68E+05,51.14,5.5,,
1,MH002A0011,1,35.13533333,-9.5165,16/12/2010,600,11.49,,,,,,,,,,,,,,
1,MH002A0011,1,35.13533333,-9.5165,16/12/2010,700,11.15,,,,,,,,,,1.34E+05,48.33,5.3,,
1,MH002A0011,1,35.13533333,-9.5165,16/12/2010,1200,10.64,,,,,,,,,0.017,1.05E+05,53.97,5.5,0.00061,0.00105
1,MH002A0011,1,35.13533333,-9.5165,16/12/2010,4000,2.43,,,,,,,,,0.007,2.49E+04,62.49,6.59,0.00026,0.00161
1,MH003C0020,1,35.13533333,-9.5165,16/12/2010,3,18.78,,,,,0.11,0.09,1.23,,4.425,5.47E+05,35.14,5.79,0.15929,0.04913
1,MH003A0021,1,35.13533333,-9.5165,16/12/2010,500,11.54,,,,,14.42,0.87,6.07,,0.589,1.65E+05,44.66,5.3,0.0212,0.02393
2,MH003A0021,,34.00066667,-12.7805,17/12/2010,580,11.64,,,,,16.07,0.91,6.76,,0.416,1.16E+05,46.57,5.31,0.01496,0.02391
2,MH003A0021,1,34.00066667,-12.7805,17/12/2010,600,11.97,,,,,16.56,0.93,7.03,,0.972,1.25E+05,45.02,5.22,0.03499,0.05219
2,MH003A0021,1,34.00066667,-12.7805,17/12/2010,1100,11.57,,,,,18.34,1.05,10.34,,0.047,9.66E+04,48.6,5.59,0.0017,0.00314
2,MH003A0021,1,34.00066667,-12.7805,17/12/2010,4000,2.46,,,,,22.76,1.54,44.85,,0.033,2.01E+04,55.9,6.88,0.00118,0.00849
3,MH005C0030,1,29.68333333,-17.288,19/12/2010,3,20.92,,,,,0.11,0.09,1.23,0.114,8.411,2.31E+05,30.9,5.95,0.30279,
3,,1,29.68333333,-17.288,19/12/2010,10,20.9,,,,,,,,0.133,,,,,,
3,MH005C0030,1,29.68333333,-17.288,19/12/2010,28,20.9,,,,,,,,0.134,50.396,4.24E+05,34.83,5.72,1.81425,0.55822
3,MH005C0030,1,29.68333333,-17.288,19/12/2010,80,20.85,,,,,,,,0.144,53.671,5.35E+05,35.31,5.84,1.93215,0.4815
3,MH005C0030,1,29.68333333,-17.288,19/12/2010,98,19.03,,,,,,,,0.151,48.807,5.53E+05,35.34,5.63,1.75704,0.44739
3,MH005C0030,1,29.68333333,-17.288,19/12/2010,118,18.11,,,,,,,,0.328,2.524,5.33E+05,39.95,6.29,0.09088,0.02676
