"Reference","added_or_amended","X","coast","Location","Date","Time","Lat","Long","Temp","Sal","Turbidity","sample","bottom","Community_Respiration","Size_fraction_µm","BR_method","Bacterial_Respiratn","BP_method","Bact_prod_filter","Bact_prod_unfil","Bact_prod_filter.1","Bact_prod_unfil.1","BGE","Bact.Abun.filter","Bact.Abun.unfilt","Bact.biomass","DOC","Chl.a","NH4","PO4","NO2","NO3","log10chl","log10no3","log10_bac_prod","Bact_prod_all","log10_bact_prod_all"
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","20c1","21-Apr-02","8:14",51.77,3.41,9.59,32.88,0.31,5,29,NA,"0.8","Winkler oxygen",2.79,"leucine uptake using 1.5 kg C mol-1 leucine",1.53,2.64,NA,NA,0.35,0.5,0.44,NA,97.4,NA,0.861,0.05,0.197,6.546,NA,0.815976000971986,0.184691430817599,4.17,0.620136054973757
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","45c5","23-Apr-02","3:09",52.9,4.52,9.55,32.06,0.33,5,24,NA,"0.8","Winkler oxygen",2.49,"leucine uptake using 1.5 kg C mol-1 leucine",1.25,3.03,NA,NA,0.33,0.78,1.28,NA,95.6,5.76,3.447,0.033,0.342,9.939,0.760422483423212,0.997342690601622,0.0969100130080564,4.28,0.631443769013172
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","47c1","24-Apr-02","8:15",53.04,4.61,10,31.24,0.5,5,40,NA,"0.8","Winkler oxygen",1.09,"leucine uptake using 1.5 kg C mol-1 leucine",0.28,0.19,NA,NA,0.21,NA,NA,NA,75.5,0.41,0.201,0.139,0.02,0.15,-0.387216143280265,-0.823908740944319,-0.552841968657781,0.47,-0.327902142064283
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","48c1","24-Apr-02","12:19",54.65,3.77,8.27,34.68,0.06,5,26,NA,"0.8","Winkler oxygen",0.92,"leucine uptake using 1.5 kg C mol-1 leucine",0.24,0.39,NA,NA,0.21,NA,NA,NA,42.4,0.77,0.131,0.051,0.012,0.044,-0.113509274827518,-1.35654732351381,-0.619788758288394,0.63,-0.200659450546418
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c4","24-Apr-02","23:36",55.18,3.25,8.83,34.83,0.01,5,75,NA,"0.8","Winkler oxygen",0.72,"leucine uptake using 1.5 kg C mol-1 leucine",0.23,0.41,NA,NA,0.24,0.61,0.5,NA,41.9,1.49,0.355,0.197,0.009,0.039,0.173186268412274,-1.4089353929735,-0.638272163982407,0.64,-0.193820026016113
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c6","25-Apr-02","7:43",55.84,2.62,8.1,34.92,0.05,5,77,NA,"0.8","Winkler oxygen",0.39,"leucine uptake using 1.5 kg C mol-1 leucine",0.1,0.2,NA,NA,0.2,NA,NA,NA,79,1.03,0.455,0.236,0.012,0.153,0.0128372247051722,-0.815308569182401,-1,0.3,-0.522878745280338
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c7","25-Apr-02","11:49",55.83,2.68,8.06,34.92,0.05,5,75,NA,"0.8","Winkler oxygen",0.22,"leucine uptake using 1.5 kg C mol-1 leucine",0.1,0.18,NA,NA,0.31,NA,NA,NA,58.1,1.3,0.327,0.218,0.012,0.054,0.113943352306837,-1.26760624017703,-1,0.28,-0.552841968657781
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c9","25-Apr-02","15:43",55.81,2.68,8.19,34.92,0.06,5,75,NA,"0.8","Winkler oxygen",0.22,"leucine uptake using 1.5 kg C mol-1 leucine",0.15,0.13,NA,NA,0.4,NA,NA,NA,44.9,1.44,0.314,0.192,0.004,NA,0.15836249209525,NA,-0.823908740944319,0.28,-0.552841968657781
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c10","25-Apr-02","19:43",55.79,2.66,8.36,34.92,0.06,5,77,NA,"0.8","Winkler oxygen",0.48,"leucine uptake using 1.5 kg C mol-1 leucine",0.14,0.09,NA,NA,0.23,NA,NA,NA,49.4,2.33,0.102,0.2,0.017,0.112,0.367355921026019,-0.950781977329818,-0.853871964321762,0.23,-0.638272163982407
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c12","25-Apr-02","23:41",55.81,2.71,8.39,34.92,0.06,5,75,NA,"0.8","Winkler oxygen",0.73,"leucine uptake using 1.5 kg C mol-1 leucine",0.05,0.01,NA,NA,0.07,NA,NA,NA,36.3,1.21,0.056,0.201,0.028,0.154,0.0827853703164501,-0.812479279163537,-1.30102999566398,0.06,-1.22184874961636
