"Latitude","Longitude","Depth","SST","CHL","SGR","source"
41.66,2.8,"10","14","1.06","0.005","Blanes_Bay"
41.66,2.8,"10",NA,"1.35","0.025","Blanes_Bay"
41.66,2.8,"10","11","1.97","0.078","Blanes_Bay"
41.66,2.8,"10","12","2.21","0.062","Blanes_Bay"
41.66,2.8,"10","13","1.13","0.052","Blanes_Bay"
41.66,2.8,"10","14","0.55","0.007","Blanes_Bay"
41.66,2.8,"10","14.5","0.54","0.018","Blanes_Bay"
41.66,2.8,"10","15","0.74","0.066","Blanes_Bay"
41.66,2.8,"10","17","0.51","0.213","Blanes_Bay"
41.66,2.8,"10","17","0.53","0.154","Blanes_Bay"
41.66,2.8,"10","25","0.23","0.111","Blanes_Bay"
41.66,2.8,"10","25.5","0.3","0.124","Blanes_Bay"
41.66,2.8,"10","25.2","0.44","0.827","Blanes_Bay"
41.66,2.8,"10","25.5","0.44","0.28","Blanes_Bay"
41.66,2.8,"10","25.2","0.25","0.113","Blanes_Bay"
41.66,2.8,"10","24.2","0.34","0.074","Blanes_Bay"
41.66,2.8,"10","23","0.24","0.019","Blanes_Bay"
41.66,2.8,"10","22.4","0.32","0.12","Blanes_Bay"
41.66,2.8,"10","18","0.36","0.078","Blanes_Bay"
41.66,2.8,"10","18","0.54","0.256","Blanes_Bay"
41.66,2.8,"10","16","0.87","0.037","Blanes_Bay"
41.66,2.8,"10","16","0.95","0.065","Blanes_Bay"
41.66,2.8,"10","14.5","3.45","0.039","Blanes_Bay"
41.66,2.8,"10","15","2.63","0.096","Blanes_Bay"
41.66,2.8,"10","14","0.86","0.07","Blanes_Bay"
41.66,2.8,"10","12.9","0.86","0.037","Blanes_Bay"
41.66,2.8,"10","12.8","0.94","0.028","Blanes_Bay"
41.66,2.8,"10","12.9","0.81","0.03","Blanes_Bay"
41.66,2.8,"10","12.6","0.46","0.031","Blanes_Bay"
41.66,2.8,"10","12.6","0.4","0.067","Blanes_Bay"
41.66,2.8,"10","17","0.71","0.222","Blanes_Bay"
41.66,2.8,"10","24","0.31","0.143","Blanes_Bay"
41.66,2.8,"10","24.5",NA,"0.555","Blanes_Bay"
41.66,2.8,"10","19.2","0.35","0.088","Blanes_Bay"
41.66,2.8,"10",NA,"0.36","0.138","Blanes_Bay"
41.66,2.8,"10",NA,"0.22","0.131","Blanes_Bay"
41.66,2.8,"10","16","0.7","0.112","Blanes_Bay"
41.66,2.8,"10","14.5","0.48","0.03","Blanes_Bay"
41.66,2.8,"10","13","0.51","0.055","Blanes_Bay"
41.66,2.8,"10","12.11","1.34","0.05","Blanes_Bay"
41.66,2.8,"10","12.36","0.67","0.062","Blanes_Bay"
41.66,2.8,"10","12.95","2.03","0.336","Blanes_Bay"
41.66,2.8,"10","24","0.02","0.086","Blanes_Bay"
41.66,2.8,"10","26.09","0.27","0.065","Blanes_Bay"
41.66,2.8,"10","21.54","0.57","0.148","Blanes_Bay"
41.66,2.8,"10","17.9","0.75","0.106","Blanes_Bay"
41.66,2.8,"10","13.9","0.6","0.065","Blanes_Bay"
41.66,2.8,"10","12.59","0.63","0.889","Blanes_Bay"
41.66,2.8,"10","12","0.54","0.433","Blanes_Bay"
41.66,2.8,"10","13","1.46","0.21","Blanes_Bay"
41.66,2.8,"10","13.5","0.98","0.357","Blanes_Bay"
41.66,2.8,"10","18.4","2.45","0.658","Blanes_Bay"
41.66,2.8,"10","22.38","0.43","0.374","Blanes_Bay"
41.66,2.8,"10","23.74","0.21","0.078","Blanes_Bay"
41.66,2.8,"10","25.6","0.39","1.705","Blanes_Bay"
41.66,2.8,"10","24.58","0.24","0.32","Blanes_Bay"
