Year,Experiment,Model,bac_biomass_gC,bac_cell_carbon_fgC,bac_resp_gC_d,bac_resp_urrutia_gC_d,bac_growth_gC_d,bac_total_gC_d,temperature,nitrate,chlo,intpp_gC_d,picophyc_vint_gC,nanophyc_vint_gC,microphyc_vint_gC,phyc_vint_gC,aou,zooplankton_gC,microzoo_gC,mesozoo_gC,macrozoo_gC,fish_biomass_lotze,fish_resp,zoo_resp
1980,historical,CMCC-ESM2,199762251707704,7.04745852275995,59860883746853.2,621273774373517,9744795028557.43,69605678775410.5,15.6970843523365,6.79013758663231,0.362886079781059,0.214276416840787,168924836367153,180855266174825,116908865095725,466688967637706,4777.78057393235,1132824815250000,172777390366602,940974490284011,19072934599375.5,5.53600857022679,16.4333489484109,3362730611824110
1981,historical,CMCC-ESM2,200417143320178,7.04812660090214,60186945617844.1,624098374490450,9797874868021.09,69984820485865.7,15.6895547298178,6.79248799030333,0.366715819305375,0.215494079818015,167932190762910,181225468225988,118335461331992,467493120320887,4734.79525497963,1135257378552400,172637163105153,943522631456682,19097583990554.5,5.53809051085322,16.4309513029636,3368193182608500
1982,historical,CMCC-ESM2,199718623637274,7.037731737585,60011893440751.2,624127982740668,9769378001982.72,69781271442733.9,15.7543477833842,6.7251338968347,0.363212015373437,0.214244183321717,170106880669085,182076196628401,118128964053063,470312041350549,4652.56752528294,1127597574758970,171054613475053,937558745441056,18984215842843.6,5.5201752315421,16.4515184409329,3360525982780450
1983,historical,CMCC-ESM2,198556670082405,7.03843894337031,59084658484724,613997543032280,9618432776582.99,68703091261307.4,15.7526795050216,6.69193967232434,0.364492577876155,0.212852455290748,171295367161660,180589443269764,117598107272563,469482917703987,4671.66043370291,1125242127990530,171579828127763,934842006351181,18820293511588.5,5.52063651050936,16.4509907281524,3353118391196300
1984,historical,CMCC-ESM2,197814069107962,7.04896088754942,58353188396407.1,603781117206618,9499356250578.02,67852544646985,15.6684930905359,6.74544146671117,0.360879468705173,0.213771387439167,170495592295682,182547643758247,118966089467262,472009325521191,4872.30879489762,1125774761064390,171114081946189,935636502581047,19024176537171.1,5.54391405411468,16.4242342157776,3335186687500930
1985,historical,CMCC-ESM2,199653566780783,7.05133837724509,59337192990076.1,612865693967300,9659543044896.02,68996736034971.9,15.6154855751116,6.82718282737798,0.36084728826617,0.215682998941217,168840850996201,182628031309756,118414276316633,469883158622588,4799.52341456357,1131877310475120,171961491108653,940705256144143,19210563222326.7,5.55857063212948,16.4072608991815,3340967951632330
1986,historical,CMCC-ESM2,199934720599717,7.04435254471983,59758077812567.4,619986652920720,9728059178790.08,69486136991357.5,15.7034236766988,6.71203563511327,0.360574625668054,0.213941884891936,170071011296752,182039772872654,117675156766260,469785940935669,4579.0055403278,1129858074937380,172133365176367,938659496261158,19065213499844.2,5.53425574704064,16.4353660381788,3355398066436960
1987,historical,CMCC-ESM2,199660791583887,7.04184225518192,59949592870092.2,624565490038822,9759236048619.63,69708828918711.2,15.7154686798506,6.71628253696545,0.355212619303609,0.213637008518253,169327450604184,181635762784370,116350109169368,467313322557924,4688.89192723686,1126673015306010,171356727686358,936162009864149,19154277755498.3,5.53092530366914,16.4391947379393,3348733907563300
1988,historical,CMCC-ESM2,199626330292505,7.04338476649898,59898448453393.7,623698022458638,9750910213343.19,69649358666736.6,15.7294141631099,6.71954943841999,0.358432140700111,0.213436266167095,168951276542479,180690175456651,116202098329190,465843550328324,4741.24805113324,1128699765548430,171473048327458,938139697977684,19087019243303.1,5.52706937754796,16.4436212023031,3358002248207820
1989,historical,CMCC-ESM2,198213977643066,7.03942880620969,59217673354782.7,617099878501925,9640086360080.88,68857759714864.2,15.7764642064288,6.62575025285496,0.354163835974679,0.213060965131991,173066242454501,183754345613552,117789127612180,474609715680234,4638.81382414251,1119035382185530,169719306124461,930302407771453,19013668289621.7,5.51406004057027,16.4585050790568,3340124950732320
