"long","lat","group","order","region","subregion","long.new","X","Y"
180,-16.06713266,1,1,"0 1","1",0,0,-1718409.64393084
180,-16.55521657,1,2,"0 1","1",0,0,-1770610.65409194
179.36414266,-16.80135408,1,3,"0 1","1",-0.63585734000003,-59316.2407803943,-1796935.29238896
178.72505936,-17.01204167,1,4,"0 1","1",-1.27494064000001,-118894.309497751,-1819468.53934419
178.5968386,-16.63915,1,5,"0 1","1",-1.40316139999999,-130927.36674129,-1779587.41212007
179.09660936,-16.43398428,1,6,"0 1","1",-0.903390639999998,-84320.7923937788,-1757644.75034154
179.41350936,-16.37905428,1,7,"0 1","1",-0.586490639999965,-54746.5035997636,-1751769.93744981
180,-16.06713266,1,8,"0 1","1",0,0,-1718409.64393084
178.12557,-17.50481,2,10,"0 1","2",-1.87442999999996,-174662.847691351,-1872170.65804543
178.3736,-17.33992,2,11,"0 1","2",-1.62639999999999,-151590.933323916,-1854535.47958697
178.71806,-17.62846,2,12,"0 1","2",-1.28193999999996,-119429.766286526,-1885395.1781929
178.55271,-18.15059,2,13,"0 1","2",-1.44729000000001,-134719.656583864,-1941237.71554271
177.93266,-18.28799,2,14,"0 1","2",-2.06734,-192392.87327058,-1955932.86632401
177.38146,-18.16432,2,15,"0 1","2",-2.61854,-243738.880038586,-1942706.16053927
177.28504,-17.72465,2,16,"0 1","2",-2.71496000000002,-252895.317026631,-1895682.82257325
177.67087,-17.38114,2,17,"0 1","2",-2.32912999999996,-217075.610728312,-1858944.00575315
178.12557,-17.50481,2,18,"0 1","2",-1.87442999999996,-174662.847691351,-1872170.65804543
-179.79332011,-16.02088226,3,20,"0 1","3",0.206679890000004,19303.0793926943,-1713463.12294377
-179.91736938,-16.50178314,3,21,"0 1","3",0.0826306200000033,7711.79091656112,-1764895.89987516
-180,-16.55521657,3,22,"0 1","3",0,0,-1770610.65409194
-180,-16.06713266,3,23,"0 1","3",0,0,-1718409.64393084
-179.79332011,-16.02088226,3,24,"0 1","3",0.206679890000004,19303.0793926943,-1713463.12294377
33.9037112,-0.95,4,26,"1 1",NA,-146.0962888,-13801862.9247898,-101604.324247947
34.07262,-1.05982,4,27,"1 1",NA,-145.92738,-13785702.491254,-113349.783960464
37.69869,-3.09699,4,28,"1 1",NA,-142.30131,-13436195.4715287,-331229.007910348
37.7669,-3.67712,4,29,"1 1",NA,-142.2331,-13426813.0336696,-393275.01120087
39.20222,-4.67677,4,30,"1 1",NA,-140.79778,-13285545.4915788,-500189.460618817
38.74054,-5.90895,4,31,"1 1",NA,-141.25946,-13320927.3438514,-631973.522718065
38.79977,-6.47566,4,32,"1 1",NA,-141.20023,-13311203.5788768,-692584.240019504
39.44,-6.84,4,33,"1 1",NA,-140.56,-13248061.9747679,-731551.100670947
39.47,-7.1,4,34,"1 1",NA,-140.53,-13243177.5374829,-759358.599957821
39.19469,-7.7039,4,35,"1 1",NA,-140.80531,-13264101.0170886,-823946.871577607
39.25203,-8.00781,4,36,"1 1",NA,-140.74797,-13256044.2384227,-856450.638013097
39.18652,-8.48551,4,37,"1 1",NA,-140.81348,-13257854.0921595,-907541.591880002
39.53574,-9.11237,4,38,"1 1",NA,-140.46426,-13218908.6153946,-974585.520101695
39.9496,-10.0984,4,39,"1 1",NA,-140.0504,-13169568.3014161,-1080043.23042181
40.31658623,-10.31709775,4,40,"1 1",NA,-139.68341377,-13132606.2856708,-1103433.37843147
40.31659,-10.3171,4,41,"1 1",NA,-139.68341,-13132605.9056976,-1103433.61907334
39.521,-10.89688,4,42,"1 1",NA,-140.479,-13200582.0986634,-1165442.22502077
38.42755659,-11.28520233,4,43,"1 1",NA,-141.57244341,-13298487.9481317,-1206974.06180436
37.82764,-11.26879,4,44,"1 1",NA,-142.17236,-13355050.1292933,-1205218.73086272
37.47129,-11.56876,4,45,"1 1",NA,-142.52871,-13384628.980013,-1237301.11062875
36.77515099,-11.59453745,4,46,"1 1",NA,-143.22484901,-13449660.262487,-1240058.05930976
36.51408166,-11.720938,4,47,"1 1",NA,-143.48591834,-13472483.4472197,-1253576.84482747
35.3123979,-11.43914642,4,48,"1 1",NA,-144.6876021,-13589090.2084063,-1223438.68440698
34.55998905,-11.52002003,4,49,"1 1",NA,-145.44001095,-13658678.3929209,-1232088.27545762
34.28,-10.16,4,50,"1 1",NA,-145.72,-13701991.6260586,-1086631.46940318
33.94083772,-9.69367384,4,51,"1 1",NA,-146.05916228,-13739188.7742466,-1036757.14986855
33.73972,-9.41715,4,52,"1 1",NA,-146.26028,-13761133.2126379,-1007182.35877829
32.75937544,-9.23059905,4,53,"1 1",NA,-147.24062456,-13855374.4359886,-987230.35582113
32.19186486,-8.93035898,4,54,"1 1",NA,-147.80813514,-13911929.9357793,-955119.0756989
31.5563481,-8.76204884,4,55,"1 1",NA,-148.4436519,-13973475.5860747,-937117.969841231
31.15775134,-8.59457875,4,56,"1 1",NA,-148.84224866,-14012691.0267945,-919206.710708731
30.74000973,-8.34000593,4,57,"1 1",NA,-149.25999027,-14054542.5233712,-891979.644417188
30.7400155,-8.34000742,4,58,"1 1",NA,-149.2599845,-14054541.9654965,-891979.803775623
30.19999678,-7.07998097,4,59,"1 1",NA,-149.80000322,-14116929.3126428,-757217.526203206
29.62003218,-6.52001515,4,60,"1 1",NA,-150.37996782,-14176237.6876676,-697328.108149879
29.41999271,-5.93999887,4,61,"1 1",NA,-150.58000729,-14199630.6748889,-635294.258669339
29.51998661,-5.41997894,4,62,"1 1",NA,-150.48001339,-14194031.1822496,-579677.133216134
29.33999759,-4.49998341,4,63,"1 1",NA,-150.66000241,-14217293.359932,-481281.803367241
29.7535124,-4.45238942,4,64,"1 1",NA,-150.2464876,-14178577.7602725,-476191.536798298
