"temperature","Temp_C","logdepth","log_nitrate","aou","logchlo","abund","size","biomass","biom_norm"
0,0,0,0,0,0,555816.333880432,10.1624984167492,5648482.61306323,0
1,1,0,0,0,0,570456.006333553,9.57959486747886,5464737.43039539,-3.25300076595604
2,2,0,0,0,0,585481.273805154,9.06309809748877,5306274.21873879,-6.05841281219509
3,3,0,0,0,0,600902.292500488,8.60897119006674,5173150.52418176,-8.41521735026979
4,4,0,0,0,0,616729.486129578,8.21317722850058,5065308.57162431,-10.3244372230201
5,5,0,0,0,0,632973.552953027,7.87167929607811,4982564.81174534,-11.7893219637044
6,6,0,0,0,0,649645.473013428,7.58044047608715,4924598.83873778,-12.8155439949718
7,7,0,0,0,0,666756.515557232,7.33542385181552,4890941.64757193,-13.4114065207414
8,8,0,0,0,0,684318.246652097,7.13259250655104,4880963.19816689,-13.5880636884904
9,9,0,0,0,0,702342.537004878,6.96790952358153,4893859.2524127,-13.3597536248994
10,10,0,0,0,0,720841.56998554,6.8373379861948,4928637.44849043,-12.7440449742735
11,11,0,0,0,0,739827.849862395,6.73684097767868,4984102.57538089,-11.7620975967214
12,12,0,0,0,0,759314.210254264,6.66238158132098,5058841.0088333,-10.4389381117376
13,13,0,0,0,0,779313.822805258,6.60992288040952,5151204.26837989,-8.8037510026726
14,14,0,0,0,0,799840.206088035,6.57542795823213,5259291.65322942,-6.89018602861115
15,15,0,0,0,0,820907.234741574,6.55485989807662,5380931.91304851,-4.73668272247046
16,16,0,0,0,0,842529.148849623,6.54418178323081,5513663.90774266,-2.38681278771706
17,17,0,0,0,0,864720.563566158,6.53935669698251,5654716.20837485,0.110358758955975
18,18,0,0,0,0,887496.478994382,6.53634772261956,5800985.5893078,2.69989281531793
19,19,0,0,0,0,910872.290325918,6.53111794342976,5949014.35952057,5.32057487018374
20,20,0,0,0,0,934863.798247063,6.51963044270094,6094966.47883058,7.90449216812259
21,21,0,0,0,0,959487.219619132,6.49784830372091,6234602.40244407,10.3765883606568
22,22,0,0,0,0,984759.198440109,6.4617346097775,6363252.5948572,12.6541945998191
23,23,0,0,0,0,1010696.81709502,6.40725244415851,6475789.65163529,14.6465359857663
24,24,0,0,0,0,1037317.60790263,6.33036489015178,6566598.96500301,16.2542122342107
25,25,0,0,0,0,1064639.56496626,6.22703503104512,6629547.86648155,17.3686513816899
26,26,0,0,0,0,1092681.15633678,6.09322595012635,6657953.17700536,17.8715352970643
27,27,0,0,0,0,1121461.33649592,5.92490073068329,6644547.09203771,17.6341957160475
28,28,0,0,0,0,1150999.55916836,5.71802245600375,6581441.32617508,16.5169794619567
29,29,0,0,0,0,1181315.79047137,5.46855420937556,6460089.43858401,14.3685814601567
30,30,0,0,0,0,1212430.52241071,5.17245907408654,6271247.25734277,11.0253440957625
